id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
YV4062PNXP1926886	by Volvo 2023 Volvo XC90 B6 Plus 7-Seater	Volvo	https://www.bortonvolvocars.com/certified/Volvo/2023-Volvo-XC90-In-Minneapolis-MN-e51b312aac18518c500bfccbe8959861.htm	45350 USD	2023 Bright Dusk Metallic Volvo XC90 by B6 Plus 7-Seater 2.0L i-4 For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://pictures.dealer.com/b/bortonvolvogroupvcna/0689/0bfe49fcb2ee07ebc6248fa4191dab2dx.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	YV4062PNXP1926886	https://www.bortonvolvocars.com/certified/Volvo/2023-Volvo-XC90-In-Minneapolis-MN-e51b312aac18518c500bfccbe8959861.htm?store={store_code}	NA	11937 miles	XC90	YV4062PNXP1926886	2023	45350 USD	81060	45350 USD	MI
YV4EK3CL3T2601402	2026 Volvo EX30 Cross Country Ultra	Volvo	https://www.bortonvolvocars.com/commercial-new/Volvo/2026-Volvo-EX30-Cross-Country-In-Minneapolis-MN-c65bf11fac1858654ca7e31eb6c81be5.htm	45705 USD	2026 Crystal White Volvo EX30 Cross Country Ultra For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX30/SUV/trim_Twin_Motor_Cross_Country_Ultra_aeee65/color/Crystal%20White%20Metallic-707-229%2C230%2C230-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	YV4EK3CL3T2601402	https://www.bortonvolvocars.com/commercial-new/Volvo/2026-Volvo-EX30-Cross-Country-In-Minneapolis-MN-c65bf11fac1858654ca7e31eb6c81be5.htm?store={store_code}	WHITE	0 miles	EX30 Cross Country	YV4EK3CL3T2601402	2026	45705 USD	81060	45705 USD	MI
YV4EK3ZK7T2617312	2026 Volvo EX30 Twin Motor Plus	Volvo	https://www.bortonvolvocars.com/commercial-new/Volvo/2026-Volvo-EX30-In-Minneapolis-MN-792295e5ac18036b6bbd4e8d457f369c.htm	42905 USD	2026 Vapour Grey Volvo EX30 Twin Motor Plus For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX30/SUV/trim_Twin_Motor_Plus_d411af/color/Vapour%20Gray%20Metallic-740-66%2C72%2C75-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	YV4EK3ZK7T2617312	https://www.bortonvolvocars.com/commercial-new/Volvo/2026-Volvo-EX30-In-Minneapolis-MN-792295e5ac18036b6bbd4e8d457f369c.htm?store={store_code}	GRAY	0 miles	EX30	YV4EK3ZK7T2617312	2026	42905 USD	81060	42905 USD	MI
YV4M12RCXT1392391	2026 Volvo XC60 B5 Plus	Volvo	https://www.bortonvolvocars.com/commercial-new/Volvo/2026-Volvo-XC60-In-Minneapolis-MN-c2d995a8ac184b304862c01e7651912a.htm	57825 USD	2026 Bright Dusk Volvo XC60 B5 Plus 2.0L I-4 cyl For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/XC60/SUV/trim_B5_Plus_57a4b2/color/Bright%20Dusk%20Metallic-736-159%2C151%2C140-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	YV4M12RCXT1392391	https://www.bortonvolvocars.com/commercial-new/Volvo/2026-Volvo-XC60-In-Minneapolis-MN-c2d995a8ac184b304862c01e7651912a.htm?store={store_code}	NA	0 miles	XC60	YV4M12RCXT1392391	2026	57825 USD	81060	57825 USD	MI
YV4EK3CL8T2601251	2026 Volvo EX30 Cross Country Ultra	Volvo	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX30-Cross-Country-In-Minneapolis-MN-b71fa110ac1838763a0a5cd76db9610d.htm	45605 USD	2026 Crystal White Volvo EX30 Cross Country Ultra For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX30/SUV/trim_Twin_Motor_Cross_Country_Ultra_aeee65/color/Crystal%20White%20Metallic-707-229%2C230%2C230-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	YV4EK3CL8T2601251	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX30-Cross-Country-In-Minneapolis-MN-b71fa110ac1838763a0a5cd76db9610d.htm?store={store_code}	WHITE	0 miles	EX30 Cross Country	YV4EK3CL8T2601251	2026	45605 USD	81060	45605 USD	MI
YV4EK3ZKXT2618082	2026 Volvo EX30 Twin Motor Plus	Volvo	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX30-In-Minneapolis-MN-97fb2da1ac184f12654073c76f62d987.htm	42905 USD	2026 Crystal White Volvo EX30 Twin Motor Plus For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX30/SUV/trim_Twin_Motor_Plus_d411af/color/Crystal%20White%20Metallic-707-229%2C230%2C230-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	YV4EK3ZKXT2618082	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX30-In-Minneapolis-MN-97fb2da1ac184f12654073c76f62d987.htm?store={store_code}	WHITE	0 miles	EX30	YV4EK3ZKXT2618082	2026	42905 USD	81060	42905 USD	MI
7JDDA3KK4TG060977	2026 Volvo EX90 Twin Motor Performance Plus 6-Seater	Volvo	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-0e2d2a18ac1841976aff950577885298.htm	86030 USD	2026 Crystal White Volvo EX90 Twin Motor Performance Plus 6-Seater For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX90/SUV/trim_Twin_Motor_Performance_Plus_6Seater_483bdc/color/Crystal%20White%20Metallic-707-229%2C230%2C230-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	7JDDA3KK4TG060977	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-0e2d2a18ac1841976aff950577885298.htm?store={store_code}	WHITE	0 miles	EX90	7JDDA3KK4TG060977	2026	86030 USD	81060	86030 USD	MI
7JDDA3VL1TG060794	2026 Volvo EX90 Twin Motor Performance Ultra 7-Seater	Volvo	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-47f86b26ac18460841a55025f37303ff.htm	86940 USD	2026 Crystal White Volvo EX90 Twin Motor Performance Ultra 7-Seater For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX90/SUV/trim_Twin_Motor_Performance_Ultra_fcc331/color/Crystal%20White%20Metallic-707-229%2C230%2C230-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	7JDDA3VL1TG060794	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-47f86b26ac18460841a55025f37303ff.htm?store={store_code}	WHITE	0 miles	EX90	7JDDA3VL1TG060794	2026	86940 USD	81060	86940 USD	MI
7JDDA3VLXTG060891	2026 Volvo EX90 Twin Motor Performance Ultra 7-Seater	Volvo	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-47f87ba5ac18279a8a8609ac14148c2d.htm	86940 USD	2026 Aurora Silver Volvo EX90 Twin Motor Performance Ultra 7-Seater For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX90/SUV/trim_Twin_Motor_Performance_Ultra_fcc331/color/Aurora%20Silver-745-175%2C174%2C178-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	7JDDA3VLXTG060891	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-47f87ba5ac18279a8a8609ac14148c2d.htm?store={store_code}	SILVER	0 miles	EX90	7JDDA3VLXTG060891	2026	86940 USD	81060	86940 USD	MI
7JDDB3VL4TG062973	2026 Volvo EX90 Twin Motor Ultra 7-Seater	Volvo	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-4ea4f590ac180898774eb9b574dc9284.htm	81940 USD	2026 Onyx Black Volvo EX90 Twin Motor Ultra 7-Seater For sale at Borton Volvo Cars in Golden Valley Minnesota.	https://images.dealer.com/ddc/vehicles/2026/Volvo/EX90/SUV/trim_Twin_Motor_Ultra_6903c0/color/Onyx%20Black%20Metallic-717-35%2C35%2C36-640-en_US.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	7JDDB3VL4TG062973	https://www.bortonvolvocars.com/new/Volvo/2026-Volvo-EX90-In-Minneapolis-MN-4ea4f590ac180898774eb9b574dc9284.htm?store={store_code}	BLACK	0 miles	EX90	7JDDB3VL4TG062973	2026	81940 USD	81060	81940 USD	MI
